Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534,2,Zoo Exhibit,Pizza Place,Fast Food Restaurant,Restaurant,Spa,Gas Station,Liquor Store,Caribbean Restaurant,Chinese Restaurant,Bank
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,0,Park,Hotel,Italian Restaurant,Burger Joint,Neighborhood,Grocery Store,Gym,Gym / Fitness Center,Breakfast Spot,Optical Shop
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,2,Pizza Place,Breakfast Spot,Fast Food Restaurant,Coffee Shop,Bank,Sports Bar,Food & Drink Shop,Greek Restaurant,Grocery Store,Gym / Fitness Center
M1G,Scarborough,Woburn,43.7709921,-79.2169174,2,Coffee Shop,Pizza Place,Fast Food Restaurant,Pharmacy,Sandwich Place,Bakery,Bus Line,Supermarket,Beer Store,Filipino Restaurant
M1H,Scarborough,Cedarbrae,43.773136,-79.2394761,2,Restaurant,Coffee Shop,Clothing Store,Indian Restaurant,Sandwich Place,Gas Station,Bakery,Pharmacy,Bank,Grocery Store
M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761,2,Sandwich Place,Pharmacy,Bank,Ice Cream Shop,Breakfast Spot,Wings Joint,Grocery Store,Pizza Place,Coffee Shop,Bookstore
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,2,Chinese Restaurant,Fast Food Restaurant,Sandwich Place,Pizza Place,Coffee Shop,Pharmacy,Grocery Store,Home Service,Beer Store,Metro Station
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,2,Pizza Place,Coffee Shop,Burger Joint,Hardware Store,Sandwich Place,Park,Bus Stop,Bus Line,Costume Shop,Grocery Store
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761,2,Park,Harbor / Marina,Pharmacy,Coffee Shop,Grocery Store,Fast Food Restaurant,Sandwich Place,Ice Cream Shop,Pub,Pizza Place
M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,0,Park,Ice Cream Shop,Filipino Restaurant,Gym Pool,Thai Restaurant,Golf Course,Café,General Entertainment,Restaurant,Diner
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304,2,Coffee Shop,Fast Food Restaurant,Indian Restaurant,Chinese Restaurant,Pizza Place,Park,Restaurant,Pet Store,Grocery Store,Intersection
M1R,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491,2,Pizza Place,Middle Eastern Restaurant,Asian Restaurant,Grocery Store,Restaurant,Coffee Shop,Sandwich Place,Burger Joint,Intersection,Greek Restaurant
