Crime level,Crime level code,Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Low,1,M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534,3,Zoo Exhibit,Fast Food Restaurant,Pizza Place,Restaurant,Coffee Shop,Supermarket,Gas Station,Caribbean Restaurant,Liquor Store,Other Great Outdoors
Low,1,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,1,Gym / Fitness Center,Italian Restaurant,Burger Joint,Neighborhood,Grocery Store,Gym,Park,Pizza Place,Breakfast Spot,Hotel
Medium,2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,3,Pizza Place,Breakfast Spot,Fast Food Restaurant,Park,Coffee Shop,Restaurant,Bank,Discount Store,Automotive Shop,Sports Bar
Low,1,M1G,Scarborough,Woburn,43.7709921,-79.2169174,4,Coffee Shop,Pharmacy,Pizza Place,Fast Food Restaurant,Sandwich Place,Bank,Burger Joint,Bus Line,Supermarket,Café
Low,1,M1H,Scarborough,Cedarbrae,43.773136,-79.2394761,3,Restaurant,Coffee Shop,Bakery,Sandwich Place,Indian Restaurant,Clothing Store,Gas Station,Bank,Pharmacy,Hakka Restaurant
Medium,2,M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761,3,Sandwich Place,Pharmacy,Bank,Ice Cream Shop,Coffee Shop,Pizza Place,Gas Station,Bookstore,Optical Shop,Big Box Store
Medium,2,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,3,Fast Food Restaurant,Chinese Restaurant,Coffee Shop,Pizza Place,Pharmacy,Sandwich Place,Grocery Store,Sporting Goods Shop,Discount Store,Train Station
Medium,2,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,3,Pizza Place,Coffee Shop,Sandwich Place,Burger Joint,Hardware Store,Beer Store,Bakery,Bank,Bar,Park
Low,1,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761,1,Park,Harbor / Marina,Pharmacy,Grocery Store,Sandwich Place,Pub,Fast Food Restaurant,Pizza Place,Beach,Coffee Shop
Low,1,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,1,Park,Convenience Store,Filipino Restaurant,Gym Pool,Thai Restaurant,Golf Course,Café,General Entertainment,Gym,Restaurant
Medium,2,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304,3,Fast Food Restaurant,Coffee Shop,Indian Restaurant,Chinese Restaurant,Intersection,Park,Pizza Place,Grocery Store,Breakfast Spot,Electronics Store
Medium,2,M1R,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491,3,Middle Eastern Restaurant,Asian Restaurant,Pizza Place,Burger Joint,Restaurant,Sandwich Place,Coffee Shop,Intersection,Grocery Store,Greek Restaurant
Low,1,M1S,Scarborough,Agincourt,43.7942003,-79.2620294,3,Chinese Restaurant,Bakery,Coffee Shop,Breakfast Spot,Cantonese Restaurant,Caribbean Restaurant,Food Court,Asian Restaurant,Shopping Mall,Filipino Restaurant
Low,1,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,3,Fast Food Restaurant,Bank,Chinese Restaurant,Gas Station,Cantonese Restaurant,Sandwich Place,Coffee Shop,Pizza Place,Pharmacy,Falafel Restaurant
Medium,2,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,3,Chinese Restaurant,Korean Restaurant,Dessert Shop,Bakery,BBQ Joint,Coffee Shop,Bubble Tea Shop,Pizza Place,Pharmacy,Vietnamese Restaurant
Low,1,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,3,Chinese Restaurant,Coffee Shop,Bakery,Fast Food Restaurant,Bank,Pool,Pizza Place,Intersection,Sandwich Place,Food & Drink Shop
Low,1,M1X,Scarborough,Upper Rouge,43.8361247,-79.2056361,2,Donut Shop,Farm,National Park,New American Restaurant,Organic Grocery,Optical Shop,Office,Nudist Beach,Noodle House,Non-Profit
Low,1,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,3,Chinese Restaurant,Coffee Shop,Bank,Pharmacy,Park,Sandwich Place,Grocery Store,Sushi Restaurant,Pizza Place,Bakery
Low,1,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,4,Coffee Shop,Clothing Store,Middle Eastern Restaurant,Intersection,Sandwich Place,Gym,Bank,Bakery,Gas Station,Chinese Restaurant
Low,1,M2K,North York,Bayview Village,43.7869473,-79.385975,1,Trail,Park,Gas Station,Bank,Grocery Store,Chinese Restaurant,Café,Restaurant,Japanese Restaurant,Skating Rink
Low,1,M2L,North York,"York Mills, Silver Hills",43.7574902,-79.3747141,4,Coffee Shop,Bank,Furniture / Home Store,Fast Food Restaurant,Park,Restaurant,Sandwich Place,Burger Joint,Gas Station,Supermarket
Low,1,M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.4084928,3,Korean Restaurant,Coffee Shop,Café,Restaurant,Bubble Tea Shop,Bank,Shopping Mall,Intersection,Grocery Store,Middle Eastern Restaurant
